facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000003485,M. H. PEDRO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,QUEZON CITY,QUEZON CITY,PASONG TAMO,,0,1.5,0,
DOH000000000002263,M. ICASIANO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,PACO,MANILA,BARANGAY 812,,0,1.5,0,Licensing Status:With License
DOH000000000040551,M2M LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF VALENZUELA,VALENZUELA,MALINTA,,0,1.5,2,Licensing Status:With License
DOH000000000003841,MA. CLARA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,SAMPALOC,MANILA,BARANGAY 483,,0,1.5,0,
DOH000000000040529,MA. VICTORIA CELESTE LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF VALENZUELA,VALENZUELA,MARULAS,,0,1.5,2,Licensing Status:With License
DOH000000000048171,"MABINI MEDICAL CLINIC, INC.",Health Facility,Medical Facility for Overseas Workers & Seafarers,other,Private,1,1,MALATE,MANILA,BARANGAY 691,,0,1.0,0,Licensing Status:With License
DOH000000000002431,MABINI-J. RIZAL HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MANDALUYONG,MANDALUYONG,MABINI-J. RIZAL,,0,1.5,0,
DOH000000000000861,MABOLO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF VALENZUELA,VALENZUELA,MABOLO,,0,1.5,0,
DOH000000000050285,MACH UNION LABORATORIES INC.,Health Facility,Laboratory for Chemical Analysis for Dialysis Wate,dialysis,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,TALON UNO,,0,2.0,0,Licensing Status:With License
DOH000000000047666,"MACH UNION WATER LABORATORY, INC.",Health Facility,Laboratory for Drinking Water Analysis,laboratory,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,TALON TRES,,0,1.0,0,Licensing Status:With License
